"LkupReferenceID","FdReferenceName","FdCitationDescription"
"1007","O'Connell, V.M., F.C. Funk, and B.R. Melteff. 1986.","Age and growth of yelloweye rockfish (Sebastes ruberrimus ) landed in southeastern Alaska. In: Proceedings of the International Rockfish Symposium, Lowell Wakefield Fisheries Symposium, Anchorage, Alaska, USA, October 20-22, 1986. Alaska Sea Grant Report, No. 87-2, p. 171-185."
"1008","O'Connell, V. and D.W. Carlisle. 1993.","Habitat-specific density of adult yelloweye rockfish Sebastes ruberrimusin the eastern Gulf of Alaska. Fishery Bulletin 91(2):304-309."
"1010","O'Connell, C.P. 1953.","The life history of the cabezon Scorpaenichthys marmoratus (Ayres). California Department of Fish and Game, Fish Bulletin No. 93, 76 p."
"1012","O'Connell, V.M. 1987.","Reproductive seasons for some Sebastes species in southeastern Alaska. Alaska Department of Fish and Game. Informational Leaflet No. 263, 21 p."
"1013","O'Connell, V.M. 1993.","Submersible observations on lingcod, Ophiodon elongatus, nesting below 30 m off Sitka, Alaska. Marine Fisheries Review 55(1):19-24."
"1014","O'Connell, V.M., D.A. Gordon, A. Hoffman, and K. Hepler. 1992.","Northern range extension of the vermillion rockfish (Sebastes miniatus). California Department of Fish and Game 78(4):173."
"1016","Oda, D.L., R.J. Lavenberg, and J.M. Rounds. 1993.","Reproductive biology of three California species of Paralabrax (Pisces: Serranidae). California Cooperative Oceanic Fisheries Investigations Reports 34:122-132."
"1017","Odenweller, D.B. 1971.","The life history of the shiner perch, Cymatogaster aggregata Gibbons, in Anaheim Bay, California. M.A. Thesis, California State University Long Beach. 66 p."
"1019","Odenweller, D.B. 1975.","The life history of the shiner surfperch Cymatogaster aggregata Gibbons, in Anaheim Bay, California. In: E.D. Lane and C.W. Hill (Editors), The marine resources of Anaheim Bay. California Department of Fish and Game, Fish Bulletin 165:107-115."
"1020","Odum, W.E. 1973.","Utilization of the direct grazing and plant detritus food chains by the striped mullet Mugil cephalus. In: J.H. Steele (Editor), Marine Food Chains, p 222-240. Oliver and Boyd, Edinburgh."
"1021","Odum, W.E. 1968.","The ecological significance of fine particle selection by the striped mullet Mugil cephalus. Limnology and Oceanography 13:92-98."
"1022","Olesiuk, P.F., M.A. Bigg, G.M. Ellis, S.J. Crockford, and R.J. Wigen. 1990.","An assessment of the feeding habits of harbour seals (Phoca vitulina) in the Strait of Georgia, British Columbia, based on scat analysis. Canadian Technical Report of Fisheries and Aquatic Sciences, No. 1730, 135 p."
"1024","Oliphant, M.S. 1992a.","California corbina. In: W.S. Leet, C.M. Dewees, and C.W. Haugen (Editors), California's living marine resources and their utilization, p 168. California Sea Grant Extension Program, Department of Wildlife and Fisheries Biology, University of California, Davis, California Sea Grant Extension Publication UCSGEP-92-12."
"1025","Oliphant, M.S. 1992b.","Spotfin and yellowfin croaker. In: W.S. Leet, C.M. Dewees, and C.W. Haugen (Editors), California's living marine resources and their utilization, p 168-170. California Sea Grant Extension Program, Department of Wildlife and Fisheries Biology, University of California, Davis, California Sea Grant Extension Publication UCSGEP-92-12."
"1026","Olson, A.C. 1977.","Asymphylodora atherinopsidis (Trematoda: Monorchidae) from the California grunion, Leuresthes tenuis, including a redescription. Journal of Parasitology 63(2):295-298."
"1028","Olsen, R.E. and I. Pratt. 1973.","Parasites as indicators of English sole (Parophrys vetulus) nursery grounds. Transactions of the American Fishery Society 2:405-411."
"1029","Onate, R. 1991.","Diet and daily ration of the rock sole Lepidopsetta bilineata (Pleuronectidae) in the eastern Bering Sea. Marine Biology 108:185-191."
"1030","Ono, D.S. 1992.","Sand basses. In: W.S. Leet, C.M. Dewees, and C.W. Haugen (Editors), California's living marine resources and their utilization, p 151-153. California Sea Grant Extension Program, Department of Wildlife and Fisheries Biology, University of California, Davis, California Sea Grant Extension Publication UCSGEP-92-12."
"1032","Orcutt, H.G. 1950.","The life history of the starry flounder. California Department of Fish and Game, Fish Bulletin 78, 64 p."
"1033","Orhun, M.R. 1989.","Early life history of white seabass Atractoscion nobilis. M.S. Thesis, San Diego State University. 162 p."
"1034","Orlov, A.M. 1998a.","Demersal ichthyofauna of Pacific waters around the Kuril Islands and southeastern Kamchatka. Russian Journal of Marine Biology 24:14-160"
"1035","Orlov, A.M. 1998b.","Some aspects of trophic relations among Pacific predatory fishes off the northern Kuril Islands and southeastern Kamchatka. In: D. MacKinlay and D. Houlihan (Editors), Fish Feeding Ecology and Digestion: Gutshop '98, p 41-52."
"1036","Orr, J.W. and J. Blackburn. 2000.","The morphology and systematics of the dusky rockfishes: the Sebastes ciliatus problem. Abstract, 11th Western Groundfish Conference, April 24-28, 2000, Sitka, Alaska, p. 21."
"1037","Orsi, J.J. 1968.","The embryology of the English sole, Parophrys vetulus. California Department of Fish and Game 54(3):133-155."
"1038","Orton, G.L. 1955.","Color variation in certain marine fish eggs. Copeia 1955(2):144-145."
"1039","Orton, R.D., L.S. Wright, and H. Hess. 1987.","Spot polymorphism in Girella nigricans (Perciformes: Kyphosidae): Geographic and inter-size class variation. Copeia 1987(1):198-204."
"1040","Owen, S.L. and L.D. Jacobson. 1992.","Thornyheads. In: W.S. Leet, C.M. Dewees, and C.W. Haugen (Editors), California's living marine resources and their utilization, p 132-133. California Sea Grant Extension Program, Department of Wildlife and Fisheries Biology, University of California, Davis, California Sea Grant Extension Publication UCSGEP-92-12."
"1041","Pafford, J.M. 1983.","Life history aspects of the striped mullet, Mugil cephalus, in Georgia's St. Simons estuarine system. M.S. Thesis, Georgia Southern College. 80 p."
"1042","Palmer, E.D. 1962.","Handbook of North American birds. Volume 1, Loons through Flamingos. Yale University Press, New Haven. 561p."
"1043","Palsson, W.A. 1998.","Monitoring the response of rockfishes to protected areas. In: M.M. Yoklavich (Editor), Marine Harvest Refugia For West Coast Rockfish: A Workshop, August 1998, p 64-73. NOAA/NMFS Technical Memorandum No. 255."
"1044","Pankhurst, N.W. 1995.","Hormones and reproductive behavior in male damselfish. Bulletin of Marine Science 57(3):569-581."
"1045","Parente, W.D. and G.R. Snyder. 1970.","A pictorial record of the hatching and early development of the eulachon (Thaleichthys pacificus). Northwest Science 44(1):50-57."
"1046","Parkin, J.L. 1998.","Ecology of breeding Caspian terns (Sterna caspia) in Elkhorn Slough, California. M.S. Thesis, San Jose State University. 101 p."
"1047","Parra, T.R., W.A. Palsson, and R.E. Pacunski. 2000.","Abundace, mate and den fidelity of wolf eel in Puget Sound, Washington. Abstract 11th Western Groundfish Conference, April 24-28, 2000, Sitka, Alaska, p. 108."
"1048","Patten, B.G. 1973.","Biological information on copper rockfish in Puget Sound, Washington. Transactions of the American Fisheries Society 2:412-416."
"1049","Pattie, B.H. 1969.","Dispersal of English sole, Parophrys vetulus, tagged off Washington coast in 1956. Pacific Marine Fisheries Commission Bulletin 7:12-14."
"1050","Pattison, C.A. and R.D. McAllister. 1990.","Age determination of California halibut, Paralichthys californicus. California Department of Fish and Game, Fish Bulletin 174:207-216."
"1051","Pearcy, W.G. and S.G. Myers. 1974.","Larval fishes of Yaquina Bay, Oregon: A nursery ground for marine fishes. Fishery Bulletin 72(1):201-213."
"1052","Pearcy, W.G. 1962.","Egg masses and early developmental stages of the scorpaenid fish, Sebastolobus. Journal of the Fisheries Research Board of Canada 19(6):1169-1173."
"1053","Pearcy, W.G. 1978.","Distribution and abundance of small flatfishes and other demersal fishes in a region of diverse sediments and bathymetry off Oregon. Fishery Bulletin 76(3):629-639."
"1054","Pearcy, W.G. and D. Hancock. 1978.","Feeding habits of Dover sole, Microstomus pacificus, Rex sole, Glyptocephalus zachirus, Slender sole, Lyopsetta exilis, and Pacific sanddab, Citharichthys sordidus, in a region of diverse sediments and bathymetry off Oregon. Fishery Bulletin 76(3):641-650."
"1057","Pearcy, W.G., M.J. Hosie, and S.L. Richardson. 1977.","Distribution and duration of pelagic life of larvae of Dover sole, Microstomus pacificus; rex sole, Glyptocephalus zachirus; petrale sole, Eopsetta jordani, in waters off Oregon. Fishery Bulletin 75:173-183."
"1058","Pearson, D.E. and S.L. Owen. 1992.","English sole. In: W.S. Leet, C.M. Dewees, and C.W. Haugen (Editors), California's living marine resources and their utilization, p 99-100. California Sea Grant Extension Program, Department of Wildlife and Fisheries Biology, University of California, Davis, California Sea Grant Extension Publication UCSGEP-92-12."
"1059","Pedersen, M.G. 1975.","Movements and growth of petrale sole (Eopsetta jordani) tagged off Washington and southwest Vancover Island. Fishery Research Board of Canada Progress Report 32(1):2169-2177."
"1060","Pederson, R.V.K., U.N. Orr, and D.E. Hay. 1995.","Distribution and preliminary stock assessment (1993) of the eulachon Thaleichthys pacificus in the lower Kitimat River, British Columbia. Canadian Manuscript Report of Fisheries and Aquatic Sciences 2330:23 p."
"1061","Penttila, D. 1978.","Studies of the surf smelt (Hypomesus pretiosus) in Puget Sound. State of Washington Department of Fisheries Technical Report 42, 47 p."
"1063","Penttila, D.E. 1997.","Investigations of intertidal spawning habitats of surf smelt and Pacific sand lance in Puget Sound, Washington. Forage Fishes in Marine Ecosystems, American Fisheries Society, p. 395-407. Lowell Wakefield Fisheries Symposium Series No. 14."
"1064","Lea, R.N. California Department of Fish and Game (personal communication)","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"1066","Peterman, R.M., M.J. Bradford, and G.H. Kruse. 1987.","Simulation model of English sole (Parophrys vetulus) population dynamics in Washington and Oregon coastal waters. Canadian Journal of Fisheries and Aquatic Sciences 44(11):1870-1878."
"1067","Peterson, C.H. and M.L. Quammen. 1982.","Siphon nipping: Its importance to small fishes and its impact on growth of the bivalve Protothaca staminea (Conrad). Journal of Experimental Marine Biology and Ecology 63:249-268."
"1068","Phillips, J.B. 1939.","The rockfish of the Monterey wholesale fish markets. California Department of Fish and Game 25(3):214-225."
"1069","Phillips, J.B. 1957.","A review of the rockfishes of California. California Department of Fish and Game, Fish Bulletin 104, 158 p."
"1070","Phillips, J.B. 1959.","A review of the lingcod, Ophiodon elongatus. California Fish and Game 45(1):19-27."
"1071","Phillips, J.B. 1960a.","Canary rockfish. In: California ocean fisheries resources to the year 1960, p 39. California Department of Fish and Game. 79 p."
"1072","Phillips, J.B. 1960b.","Lingcod, Ophiodon elongatus. In: California Ocean Fisheries Resources to the year 1960, p. 33 and 78. California Department of Fish and Game. 79 p."
"1073","Phillips, J.B. 1960c.","Vermillion rockfish. In: California ocean fisheries resources to the year 1960, p 40-41. California Department of Fish and Game. 79 p."
"1074","Phillips, J.B. 1964.","Life history studies on ten species of rockfish (Genus Sebastodes). California Department of Fish and Game, Fish Bulletin 126:1-70."
"1075","Phillips, J.B. 1968.","Review of rockfish programs. California Department of Fish and Game, Marine Resource Operations Reference No. 68-1, 75 p."
"1076","Phillips, A.C. 1973.","Age determination and growth rate studies of the northern midshipman (Porichthys notatus Girard). B.S. Thesis, University of Victoria. 41 p."
"1077","Phillips, A.C. and W.E. Barraclough. 1977.","On the early life history of the lingcod (Ophiodon elongatus). Fisheries and Marine Service Technical Report No. 756. 35p."
"1078","Phillips et al. 1997","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"1079","Pillsbury, R.W. 1957.","Avoidance of poisonous eggs of the marine fish Scorpaenichthys marmoratus by predators. Copeia 1957(3): 251-252."
"1080","Pinkas, L. 1960a.","California Barracuda. In: California ocean fisheries resources to the year 1960, p 22-24. California Department of Fish and Game. 79 p."
"1081","Pinkas, L. 1960b.","White seabass. In: California ocean fisheries resources to the year 1960, p 49-51. California Department of Fish and Game. 79 p."
"1082","Pinkas, L. 1966.","A management study of the California barracuda Sphyraena argentea Girard. California Department of Fish and Game, Fish Bulletin 134, 58 p."
